feature,importance
jockey_top3_rate,8299.254556160058
ability_top3_rate,4367.691023748368
jockey_win_rate,3494.409808413121
num_runners,2622.6652045397395
trainer_top3_rate,2218.973047607142
horse_weight,1917.3742955251382
prev1_finish_position,1546.524261943705
sire_course_top3_rate,1325.202746075338
trainer_win_rate,1321.5561889863275
horse_top3_rate,1314.6424262970686
impost,1012.7653437562985
damsire_course_top3_rate,987.6856088340282
days_since_last,828.2861377000809
ability_avg_odds,825.0277586998902
avg_finish_5,725.0068192764584
avg_last_3f_5,711.85402739048
prev_weight,639.564901648555
weight_change,610.4627315998077
ability_dirt_top3,553.3596880938858
avg_last_3f_rank_3,482.80481708049774
bracket,469.7755674766631
course_avg_winner_odds,460.7335392642635
prev1_last_3f,439.2693874835968
horse_course_top3_rate,380.3456294462085
ability_turf_top3,376.86739391088486
avg_speed_3,364.18806553579634
combo_top3_rate,358.6056203842163
prev_last_3f_rank,329.0337252852828
prev1_time,328.3298091397155
course_avg_speed,323.42955247730424
course_avg_winner_pop,315.837264329195
ability_front,315.2143985741277
ability_stability,307.5961989104617
ability_growth,306.5089388873548
course_inner_bias,306.2868364832136
place_code_num,285.54686421802035
speed_index,279.61681525311724
course_avg_winner_3f,271.6255379105096
ability_power,250.94827561825514
ability_win_rate,235.5470804211218
distance,228.59291034936905
distance_change,202.17926025390625
prev2_time,194.87866175174713
prev2_last_3f,182.32631585001945
damdamsire_line_その他,168.3078498840332
damdamsire_line_ノーザンダンサー系,165.31635975837708
finish_std_5,159.6493494915776
horse_win_rate,152.79007935523987
track_condition_num,115.80391883850098
damsire_line_その他,109.01029763856059
ability_acceleration,100.77192008495331
damsire_line_ノーザンダンサー系,98.90971088409424
prev2_finish_position,92.70191049575806
damsire_line_サンデーサイレンス系,84.95381289720535
prev3_time,82.63894057273865
ability_runs,80.15357953310013
sire_line_サンデーサイレンス系,78.66243809461594
horse_course_runs,78.467129945755
prev3_last_3f,77.15189003944397
sire_line_その他,73.4466051608324
ability_speed,68.51326168496598
ability_class,67.66774988174438
sire_line_ノーザンダンサー系,53.203637927770615
sire_line_ミスプロ系,52.793830156326294
prev4_finish_position,51.915730714797974
damsire_line_ナスルーラ系,48.656270027160645
damdamsire_line_サンデーサイレンス系,47.08190929889679
damdamsire_line_ナスルーラ系,40.87362003326416
combo_rides,38.251100301742554
prev3_finish_position,37.51818037033081
damsire_line_ミスプロ系,31.829920291900635
prev_distance,29.553316056728363
ability_stamina,23.868849754333496
prev4_time,17.93021011352539
is_turf,14.769162100958056
sire_line_ナスルーラ系,6.585219860076904
prev4_last_3f,6.553040027618408
sire_line_ネイティヴダンサー系,6.208690166473389
has_history,0.0
horse_runs,0.0
damdamsire_line_ネイティヴダンサー系,0.0
damdamsire_line_ミスプロ系,0.0
prev5_time,0.0
damsire_line_ネイティヴダンサー系,0.0
ability_heavy_top3,0.0
prev5_finish_position,0.0
prev5_last_3f,0.0
